review,clean_review,tokens
i used this product to moisturize and to get rid of puffiness under my eyes. it is the best product ive found to do this. ,used product moisturize get rid puffiness eyes . best product ive found .,"['used', 'product', 'moisturize', 'get', 'rid', 'puffiness', 'eyes', '.', 'best', 'product', 'ive', 'found', '.']"
love this product  visible results at age 65.it doesnt make my mascara smear. doesnt irritate my eyes,love product visible results age 65.it doesnt make mascara smear . doesnt irritate eyes,"['love', 'product', 'visible', 'results', 'age', '65.it', 'doesnt', 'make', 'mascara', 'smear', '.', 'doesnt', 'irritate', 'eyes']"
ive been using the roc retinol correxion line smoothing antiaging cream for a few months now and i have some mixed feelings about its effectiveness. i didnt really notice a difference at all. i would rather pay for something a little more expensive and know that it will work. i must note that the results have been more moderate than i had hoped for. while there has been some improvement it hasnt been as dramatic as i anticipated based on the product claims. its possible that my expectations were too high but i was hoping for a more noticeable difference in the appearance of fine lines.one drawback ive experienced is mild irritation. i followed the recommended usage instructions gradually introducing the product into my skincare routine but i still experienced some redness flakiness and sensitivity. its not unbearable but it does make me hesitant to use the cream as frequently as i would like.the packaging is simple and functional and i appreciate the hygienic pump dispenser. the cream itself has a lightweight texture and is easily absorbed which is a plus for daytime use under makeup.in terms of scent there is a faint chemical odor that dissipates quickly after application. its not overwhelming but its worth mentioning for those who are sensitive to scents.in conclusion the roc retinol correxion line smoothing antiaging cream has provided some improvement in my skins texture and fine lines albeit at a more moderate level. the mild irritation and the lessdramatic results are the main reasons for my 3star rating. while it may work better for others ill likely continue exploring other options for my antiaging skincare routine. moderate results mild irritation,ive using roc retinol correxion line smoothing antiaging cream months mixed feelings effectiveness . didnt really notice difference . would rather pay something little expensive know work . must note results moderate hoped . improvement hasnt dramatic anticipated based product claims . possible expectations high hoping noticeable difference appearance fine lines.one drawback ive experienced mild irritation . followed recommended usage instructions gradually introducing product skincare routine still experienced redness flakiness sensitivity . not unbearable make hesitant use cream frequently would like.the packaging simple functional appreciate hygienic pump dispenser . cream lightweight texture easily absorbed plus daytime use makeup.in terms scent faint chemical odor dissipates quickly application . not overwhelming worth mentioning sensitive scents.in conclusion roc retinol correxion line smoothing antiaging cream provided improvement skins texture fine lines albeit moderate level . mild irritation lessdramatic results main reasons 3star rating . may work better others ill likely continue exploring options antiaging skincare routine . moderate results mild irritation,"['ive', 'using', 'roc', 'retinol', 'correxion', 'line', 'smoothing', 'antiaging', 'cream', 'months', 'mixed', 'feelings', 'effectiveness', '.', 'didnt', 'really', 'notice', 'difference', '.', 'would', 'rather', 'pay', 'something', 'little', 'expensive', 'know', 'work', '.', 'must', 'note', 'results', 'moderate', 'hoped', '.', 'improvement', 'hasnt', 'dramatic', 'anticipated', 'based', 'product', 'claims', '.', 'possible', 'expectations', 'high', 'hoping', 'noticeable', 'difference', 'appearance', 'fine', 'lines.one', 'drawback', 'ive', 'experienced', 'mild', 'irritation', '.', 'followed', 'recommended', 'usage', 'instructions', 'gradually', 'introducing', 'product', 'skincare', 'routine', 'still', 'experienced', 'redness', 'flakiness', 'sensitivity', '.', 'not', 'unbearable', 'make', 'hesitant', 'use', 'cream', 'frequently', 'would', 'like.the', 'packaging', 'simple', 'functional', 'appreciate', 'hygienic', 'pump', 'dispenser', '.', 'cream', 'lightweight', 'texture', 'easily', 'absorbed', 'plus', 'daytime', 'use', 'makeup.in', 'terms', 'scent', 'faint', 'chemical', 'odor', 'dissipates', 'quickly', 'application', '.', 'not', 'overwhelming', 'worth', 'mentioning', 'sensitive', 'scents.in', 'conclusion', 'roc', 'retinol', 'correxion', 'line', 'smoothing', 'antiaging', 'cream', 'provided', 'improvement', 'skins', 'texture', 'fine', 'lines', 'albeit', 'moderate', 'level', '.', 'mild', 'irritation', 'lessdramatic', 'results', 'main', 'reasons', '3star', 'rating', '.', 'may', 'work', 'better', 'others', 'ill', 'likely', 'continue', 'exploring', 'options', 'antiaging', 'skincare', 'routine', '.', 'moderate', 'results', 'mild', 'irritation']"
absorbs quickly. just a very small amount needed. nice fragrance.  helps with wrinkles puffiness and dark circles. wife loves this cream,absorbs quickly . small amount needed . nice fragrance . helps wrinkles puffiness dark circles . wife loves cream,"['absorbs', 'quickly', '.', 'small', 'amount', 'needed', '.', 'nice', 'fragrance', '.', 'helps', 'wrinkles', 'puffiness', 'dark', 'circles', '.', 'wife', 'loves', 'cream']"
this eye cream is light and effective  i have been using it for years. it helps my under eyes skin a lot. ,eye cream light effective using years . helps eyes skin lot .,"['eye', 'cream', 'light', 'effective', 'using', 'years', '.', 'helps', 'eyes', 'skin', 'lot', '.']"
have appreciated this product for years.  i believe it helps my under eyes ,appreciated product years . believe helps eyes,"['appreciated', 'product', 'years', '.', 'believe', 'helps', 'eyes']"
i have been using this product 56 days a week fora little over a month now and i have noticed a softening in the lines around my eyes especially when i wear foundation andor powder i have a lot less creasing than i did before.  this product doesnt completely eliminate lines but they have improved more than with any other product i have tried so far.i use this product mainly at night instead of during the day because if i wear it under makeup my experience has been that my eyeshadow wears off a lot faster than if i just use an eyelid primer.  i have tried it under the makeup primer and had creasing and makeup fade.  this might be because i have pretty oily skin even on my eyelids.  those of you with dryer or more normal skin might have no problems at all with wearing this under makeup so definitely try it for yourself.still even though i cant use it as intended i do see results that for the price of the product i think are pretty impressive.  plus even after a month i still have about 23 of the tube left you dont need a lot of product at all.  in fact i recommend starting with the smallest dab you can put on your fingertip patting it in and then adding more if you need to.  i made the mistake early on of putting too much product on so that my skin wasnt able to absorb it all and about an hour later when i rubbed my eye i got a most unpleasant burning sensation. granted it doesnt last all that long but why waste product and get a burning eyeif youre looking for a good eye cream for a relatively low price this one is definitely worth trying. not a miracle product but i have noticed results,using product 56 days week fora little month noticed softening lines around eyes especially wear foundation andor powder lot less creasing . product doesnt completely eliminate lines improved product tried far.i use product mainly night instead day wear makeup experience eyeshadow wears lot faster use eyelid primer . tried makeup primer creasing makeup fade . might pretty oily skin even eyelids . dryer normal skin might no problems wearing makeup definitely try yourself.still even though cant use intended see results price product think pretty impressive . plus even month still 23 tube left dont need lot product . fact recommend starting smallest dab put fingertip patting adding need . made mistake early putting much product skin wasnt able absorb hour later rubbed eye got unpleasant burning sensation . granted doesnt last long waste product get burning eyeif youre looking good eye cream relatively low price one definitely worth trying . not miracle product noticed results,"['using', 'product', '56', 'days', 'week', 'fora', 'little', 'month', 'noticed', 'softening', 'lines', 'around', 'eyes', 'especially', 'wear', 'foundation', 'andor', 'powder', 'lot', 'less', 'creasing', '.', 'product', 'doesnt', 'completely', 'eliminate', 'lines', 'improved', 'product', 'tried', 'far.i', 'use', 'product', 'mainly', 'night', 'instead', 'day', 'wear', 'makeup', 'experience', 'eyeshadow', 'wears', 'lot', 'faster', 'use', 'eyelid', 'primer', '.', 'tried', 'makeup', 'primer', 'creasing', 'makeup', 'fade', '.', 'might', 'pretty', 'oily', 'skin', 'even', 'eyelids', '.', 'dryer', 'normal', 'skin', 'might', 'no', 'problems', 'wearing', 'makeup', 'definitely', 'try', 'yourself.still', 'even', 'though', 'cant', 'use', 'intended', 'see', 'results', 'price', 'product', 'think', 'pretty', 'impressive', '.', 'plus', 'even', 'month', 'still', '23', 'tube', 'left', 'dont', 'need', 'lot', 'product', '.', 'fact', 'recommend', 'starting', 'smallest', 'dab', 'put', 'fingertip', 'patting', 'adding', 'need', '.', 'made', 'mistake', 'early', 'putting', 'much', 'product', 'skin', 'wasnt', 'able', 'absorb', 'hour', 'later', 'rubbed', 'eye', 'got', 'unpleasant', 'burning', 'sensation', '.', 'granted', 'doesnt', 'last', 'long', 'waste', 'product', 'get', 'burning', 'eyeif', 'youre', 'looking', 'good', 'eye', 'cream', 'relatively', 'low', 'price', 'one', 'definitely', 'worth', 'trying', '.', 'not', 'miracle', 'product', 'noticed', 'results']"
i have used this product for two days only and feel a freshness. my skin feels so good already. the texture is ideal not too thick and not too thin. a tiny tear size drop is enough for both eyes. ,used product two days feel freshness . skin feels good already . texture ideal not thick not thin . tiny tear size drop enough eyes .,"['used', 'product', 'two', 'days', 'feel', 'freshness', '.', 'skin', 'feels', 'good', 'already', '.', 'texture', 'ideal', 'not', 'thick', 'not', 'thin', '.', 'tiny', 'tear', 'size', 'drop', 'enough', 'eyes', '.']"
this works im 49 and was noticing drooping and wrinkles around my eyes. i use this now morning and night and it works great i can also use before applying makeup and have no problems at all. absorbs quickly moisturizes and lifts. i believe it has helped slow the aging around my eyes. ive been using this daily for about 4 years now. my go to eye cream,works im 49 noticing drooping wrinkles around eyes . use morning night works great also use applying makeup no problems . absorbs quickly moisturizes lifts . believe helped slow aging around eyes . ive using daily 4 years . go eye cream,"['works', 'im', '49', 'noticing', 'drooping', 'wrinkles', 'around', 'eyes', '.', 'use', 'morning', 'night', 'works', 'great', 'also', 'use', 'applying', 'makeup', 'no', 'problems', '.', 'absorbs', 'quickly', 'moisturizes', 'lifts', '.', 'believe', 'helped', 'slow', 'aging', 'around', 'eyes', '.', 'ive', 'using', 'daily', '4', 'years', '.', 'go', 'eye', 'cream']"
i used this product the first time before i went to sleep. i looked in the mirror in the morning and was like wow. it filled the lines under my eyes. i only used this product twice and decided to write review because i was so impressed.  use very tiny amount. i would definitely recommend this product even though some things just work better for one person than for another so keep that in mind.  to add there are supplements that can also improve the texture of your skin tremendously. i take fish oil hyaluronic acid peptides.just to name few.  good luck on your journey of looking younger ,used product first time went sleep . looked mirror morning like wow . filled lines eyes . used product twice decided write review impressed . use tiny amount . would definitely recommend product even though things work better one person another keep mind . add supplements also improve texture skin tremendously . take fish oil hyaluronic acid peptides.just name . good luck journey looking younger,"['used', 'product', 'first', 'time', 'went', 'sleep', '.', 'looked', 'mirror', 'morning', 'like', 'wow', '.', 'filled', 'lines', 'eyes', '.', 'used', 'product', 'twice', 'decided', 'write', 'review', 'impressed', '.', 'use', 'tiny', 'amount', '.', 'would', 'definitely', 'recommend', 'product', 'even', 'though', 'things', 'work', 'better', 'one', 'person', 'another', 'keep', 'mind', '.', 'add', 'supplements', 'also', 'improve', 'texture', 'skin', 'tremendously', '.', 'take', 'fish', 'oil', 'hyaluronic', 'acid', 'peptides.just', 'name', '.', 'good', 'luck', 'journey', 'looking', 'younger']"
