review,clean_review,tokens
definitely works to smooth and remove dry skin. lightweight so not a heavy feel. no scent.  was a much larger easy to use pump bottle than expected. definitely buying again great value and i have tried a lot of different lotions. this is the best. ,definitely works smooth remove dry skin . lightweight not heavy feel . no scent . much larger easy use pump bottle expected . definitely buying great value tried lot different lotions . best .,"['definitely', 'works', 'smooth', 'remove', 'dry', 'skin', '.', 'lightweight', 'not', 'heavy', 'feel', '.', 'no', 'scent', '.', 'much', 'larger', 'easy', 'use', 'pump', 'bottle', 'expected', '.', 'definitely', 'buying', 'great', 'value', 'tried', 'lot', 'different', 'lotions', '.', 'best', '.']"
i have been using aveeno daily moisturizer everyday since i was 15 years old. i literally cannot live without this lotion and it is by far the most important part of my skincare routine. for years i have gotten compliments on how soft my skin is and now in my mid 30s i constantly get commentscompliments on how nice my skin looks.this lotion is unscented and absorbs quickly into your skin with no residue or stickiness. i naturally have sensitive dryer skin and aveeno immediately soothes my skin upon application and leaves me feeling hydrated and smooth all day.if i were to give anyone my number one beauty secret i would say aveeno is as close to a religion as i practice. loyal aveeno user for 20 years,using aveeno daily moisturizer everyday since 15 years old . literally not live without lotion far important part skincare routine . years gotten compliments soft skin mid 30s constantly get commentscompliments nice skin looks.this lotion unscented absorbs quickly skin no residue stickiness . naturally sensitive dryer skin aveeno immediately soothes skin upon application leaves feeling hydrated smooth day.if give anyone number one beauty secret would say aveeno close religion practice . loyal aveeno user 20 years,"['using', 'aveeno', 'daily', 'moisturizer', 'everyday', 'since', '15', 'years', 'old', '.', 'literally', 'not', 'live', 'without', 'lotion', 'far', 'important', 'part', 'skincare', 'routine', '.', 'years', 'gotten', 'compliments', 'soft', 'skin', 'mid', '30s', 'constantly', 'get', 'commentscompliments', 'nice', 'skin', 'looks.this', 'lotion', 'unscented', 'absorbs', 'quickly', 'skin', 'no', 'residue', 'stickiness', '.', 'naturally', 'sensitive', 'dryer', 'skin', 'aveeno', 'immediately', 'soothes', 'skin', 'upon', 'application', 'leaves', 'feeling', 'hydrated', 'smooth', 'day.if', 'give', 'anyone', 'number', 'one', 'beauty', 'secret', 'would', 'say', 'aveeno', 'close', 'religion', 'practice', '.', 'loyal', 'aveeno', 'user', '20', 'years']"
overall works really well. i have really dry skin and used it after i take a shower. the product seems to dry very quickly after being used but when i wake up my face feels a bit oily. there is also a very faint scent not sure how to describe it. you really only notice it on your hand when you are applying it though. works but has a very faint scent,overall works really well . really dry skin used take shower . product seems dry quickly used wake face feels bit oily . also faint scent not sure describe . really notice hand applying though . works faint scent,"['overall', 'works', 'really', 'well', '.', 'really', 'dry', 'skin', 'used', 'take', 'shower', '.', 'product', 'seems', 'dry', 'quickly', 'used', 'wake', 'face', 'feels', 'bit', 'oily', '.', 'also', 'faint', 'scent', 'not', 'sure', 'describe', '.', 'really', 'notice', 'hand', 'applying', 'though', '.', 'works', 'faint', 'scent']"
this product is one of the best and it it more than value for money and it soften your skin and im more than satisfied with this product im a very satisfied customer,product one best value money soften skin im satisfied product im satisfied customer,"['product', 'one', 'best', 'value', 'money', 'soften', 'skin', 'im', 'satisfied', 'product', 'im', 'satisfied', 'customer']"
this lotion is great for dry hands and feet. living in new england during the winter puts many lotions to the test and this is the best ive found. its not greasy and absorbs pretty fast. no scent either great for dry skin on hands and feet,lotion great dry hands feet . living new england winter puts many lotions test best ive found . not greasy absorbs pretty fast . no scent either great dry skin hands feet,"['lotion', 'great', 'dry', 'hands', 'feet', '.', 'living', 'new', 'england', 'winter', 'puts', 'many', 'lotions', 'test', 'best', 'ive', 'found', '.', 'not', 'greasy', 'absorbs', 'pretty', 'fast', '.', 'no', 'scent', 'either', 'great', 'dry', 'skin', 'hands', 'feet']"
i have been struggling with extremely dry skin on my hands and i have bought numerous creams and lotions. cetaphil intensive moisturizing cream is by far the best for my dry skin and a little goes a long way it is a pretty light weight cream and it is a little greasy when you first put it on. but it soaks into your skin quickly and the greasy feeling doesnt last long. i will be purchasing this cream again best moisturizing cream that i have found,struggling extremely dry skin hands bought numerous creams lotions . cetaphil intensive moisturizing cream far best dry skin little goes long way pretty light weight cream little greasy first put . soaks skin quickly greasy feeling doesnt last long . purchasing cream best moisturizing cream found,"['struggling', 'extremely', 'dry', 'skin', 'hands', 'bought', 'numerous', 'creams', 'lotions', '.', 'cetaphil', 'intensive', 'moisturizing', 'cream', 'far', 'best', 'dry', 'skin', 'little', 'goes', 'long', 'way', 'pretty', 'light', 'weight', 'cream', 'little', 'greasy', 'first', 'put', '.', 'soaks', 'skin', 'quickly', 'greasy', 'feeling', 'doesnt', 'last', 'long', '.', 'purchasing', 'cream', 'best', 'moisturizing', 'cream', 'found']"
tried this cream for extremely dry and cracked feet.  nothing else had made any improvements . but this cream is amazing.  used it daily and it improved the condition of my skin closed cracks and softened the skin in a weeks time.  faithful user now ,tried cream extremely dry cracked feet . nothing else made improvements . cream amazing . used daily improved condition skin closed cracks softened skin weeks time . faithful user,"['tried', 'cream', 'extremely', 'dry', 'cracked', 'feet', '.', 'nothing', 'else', 'made', 'improvements', '.', 'cream', 'amazing', '.', 'used', 'daily', 'improved', 'condition', 'skin', 'closed', 'cracks', 'softened', 'skin', 'weeks', 'time', '.', 'faithful', 'user']"
the product is definitely moisturizing however there is a greasy film but heals your skin as it should. if using for your hands i would.do it at night if thats something thats bothers you. ,product definitely moisturizing however greasy film heals skin . using hands would.do night thats something thats bothers .,"['product', 'definitely', 'moisturizing', 'however', 'greasy', 'film', 'heals', 'skin', '.', 'using', 'hands', 'would.do', 'night', 'thats', 'something', 'thats', 'bothers', '.']"
this cream helps restore my hands and cuticles after washing my hands and using alcohol rub all day after a long shift in the hospital. i highly recommend this product i also use gold bond hand cream its a little less expensive and works however after purchasing this product i find myself grabbing this tube more and more. i find its healing properties superior in my opinion. non greasy and highly effective another winner from cetaphil,cream helps restore hands cuticles washing hands using alcohol rub day long shift hospital . highly recommend product also use gold bond hand cream little less expensive works however purchasing product find grabbing tube . find healing properties superior opinion . non greasy highly effective another winner cetaphil,"['cream', 'helps', 'restore', 'hands', 'cuticles', 'washing', 'hands', 'using', 'alcohol', 'rub', 'day', 'long', 'shift', 'hospital', '.', 'highly', 'recommend', 'product', 'also', 'use', 'gold', 'bond', 'hand', 'cream', 'little', 'less', 'expensive', 'works', 'however', 'purchasing', 'product', 'find', 'grabbing', 'tube', '.', 'find', 'healing', 'properties', 'superior', 'opinion', '.', 'non', 'greasy', 'highly', 'effective', 'another', 'winner', 'cetaphil']"
best hand cream ever. no scent at all and it really moisturizes my hands. this is different from the one they sell in the round tub this has shea butter which feels nice on the hands. much more affordable than kiehls or other brands that does a similar job. best hand cream ever,best hand cream ever . no scent really moisturizes hands . different one sell round tub shea butter feels nice hands . much affordable kiehls brands similar job . best hand cream ever,"['best', 'hand', 'cream', 'ever', '.', 'no', 'scent', 'really', 'moisturizes', 'hands', '.', 'different', 'one', 'sell', 'round', 'tub', 'shea', 'butter', 'feels', 'nice', 'hands', '.', 'much', 'affordable', 'kiehls', 'brands', 'similar', 'job', '.', 'best', 'hand', 'cream', 'ever']"
