review,clean_review,tokens
i buy this product all the time. the last bottle was opened the product is discolored and the dropper was already in the product instead of having to do it yourself. im confused.  this was my 19th time ordering.  what happened is there a change in product or is it fake it smells different too. ,buy product time . last bottle opened product discolored dropper already product instead . im confused . 19th time ordering . happened change product fake smells different .,"['buy', 'product', 'time', '.', 'last', 'bottle', 'opened', 'product', 'discolored', 'dropper', 'already', 'product', 'instead', '.', 'im', 'confused', '.', '19th', 'time', 'ordering', '.', 'happened', 'change', 'product', 'fake', 'smells', 'different', '.']"
package not sealed and the dropper was already in the bottle. this is not how this product comes from the manufacturer as i have purchased it before from another store.  assuming this was a return for another customer and i am also returning.  based on the reviews for this product it looks to be a common issue. package was not sealed. product was opened.,package not sealed dropper already bottle . not product comes manufacturer purchased another store . assuming return another customer also returning . based reviews product looks common issue . package not sealed . product opened .,"['package', 'not', 'sealed', 'dropper', 'already', 'bottle', '.', 'not', 'product', 'comes', 'manufacturer', 'purchased', 'another', 'store', '.', 'assuming', 'return', 'another', 'customer', 'also', 'returning', '.', 'based', 'reviews', 'product', 'looks', 'common', 'issue', '.', 'package', 'not', 'sealed', '.', 'product', 'opened', '.']"
i didnt notice any change in my skin before and after didnt notice any change,didnt notice change skin didnt notice change,"['didnt', 'notice', 'change', 'skin', 'didnt', 'notice', 'change']"
just received this product. product doesnt have plastic seal around the cap so this looks to be tampered. product looks to be tampered,received product . product doesnt plastic seal around cap looks tampered . product looks tampered,"['received', 'product', '.', 'product', 'doesnt', 'plastic', 'seal', 'around', 'cap', 'looks', 'tampered', '.', 'product', 'looks', 'tampered']"
feels so good on your face ,feels good face,"['feels', 'good', 'face']"
ive been using the strivectin super c retinol brighten  correct vitamin c serum and tl neck cream plus for about a month now and im already seeing noticeable results my skin looks brighter smoother and more eventoned. the neck cream has also made my skin feel firmer and more hydrated. i was pleasantly surprised to find that its actually cheaper on amazon than in stores which is a great bonus if youre looking for effective products that deliver visible improvements i definitely recommend giving these a try. ,ive using strivectin super c retinol brighten correct vitamin c serum tl neck cream plus month im already seeing noticeable results skin looks brighter smoother eventoned . neck cream also made skin feel firmer hydrated . pleasantly surprised find actually cheaper amazon stores great bonus youre looking effective products deliver visible improvements definitely recommend giving try .,"['ive', 'using', 'strivectin', 'super', 'c', 'retinol', 'brighten', 'correct', 'vitamin', 'c', 'serum', 'tl', 'neck', 'cream', 'plus', 'month', 'im', 'already', 'seeing', 'noticeable', 'results', 'skin', 'looks', 'brighter', 'smoother', 'eventoned', '.', 'neck', 'cream', 'also', 'made', 'skin', 'feel', 'firmer', 'hydrated', '.', 'pleasantly', 'surprised', 'find', 'actually', 'cheaper', 'amazon', 'stores', 'great', 'bonus', 'youre', 'looking', 'effective', 'products', 'deliver', 'visible', 'improvements', 'definitely', 'recommend', 'giving', 'try', '.']"
skin is smoothed brightened and moisturized ,skin smoothed brightened moisturized,"['skin', 'smoothed', 'brightened', 'moisturized']"
 not worth the money,not worth money,"['not', 'worth', 'money']"
i have been using this product for two months now and have already ordered another one. i can tell you honestly it works even my 50yearold daughter has noticed how refreshed i look. ,using product two months already ordered another one . tell honestly works even 50yearold daughter noticed refreshed look .,"['using', 'product', 'two', 'months', 'already', 'ordered', 'another', 'one', '.', 'tell', 'honestly', 'works', 'even', '50yearold', 'daughter', 'noticed', 'refreshed', 'look', '.']"
did not fade the dark spots or help with any uneven spots wrinkles or creases. sadly didnt work for me,not fade dark spots help uneven spots wrinkles creases . sadly didnt work,"['not', 'fade', 'dark', 'spots', 'help', 'uneven', 'spots', 'wrinkles', 'creases', '.', 'sadly', 'didnt', 'work']"
i used this product twice a day and saw no results. i went through half the bottle with not the slightest reduction of brown spots. ,used product twice day saw no results . went half bottle not slightest reduction brown spots .,"['used', 'product', 'twice', 'day', 'saw', 'no', 'results', '.', 'went', 'half', 'bottle', 'not', 'slightest', 'reduction', 'brown', 'spots', '.']"
i love that this contains all the individual lightening treatments all in one product the price is on point as well.  i love that this is nice for all skin types. it takes time to see improvement but i can definitely tell a difference especially on post acne marks  ive tried several dark spot serums and this is the best love great lightening ingredients has everything all in 1 product,love contains individual lightening treatments one product price point well . love nice skin types . takes time see improvement definitely tell difference especially post acne marks ive tried several dark spot serums best love great lightening ingredients everything 1 product,"['love', 'contains', 'individual', 'lightening', 'treatments', 'one', 'product', 'price', 'point', 'well', '.', 'love', 'nice', 'skin', 'types', '.', 'takes', 'time', 'see', 'improvement', 'definitely', 'tell', 'difference', 'especially', 'post', 'acne', 'marks', 'ive', 'tried', 'several', 'dark', 'spot', 'serums', 'best', 'love', 'great', 'lightening', 'ingredients', 'everything', '1', 'product']"
so far so good. i do get a glow every time i use it. im buying again ,far good . get glow every time use . im buying,"['far', 'good', '.', 'get', 'glow', 'every', 'time', 'use', '.', 'im', 'buying']"
used it for months on the same spot and it never made a difference. ,used months spot never made difference .,"['used', 'months', 'spot', 'never', 'made', 'difference', '.']"
i used the whole bottle great for skin ,used whole bottle great skin,"['used', 'whole', 'bottle', 'great', 'skin']"
it was good. just like he said ,good . like said,"['good', '.', 'like', 'said']"
should have been put in a box even if the bottle is small ,put box even bottle small,"['put', 'box', 'even', 'bottle', 'small']"
i thought this was a great serum. it felt moisturizing i didnt notice smell and it didnt make my skin feel oily or sticky. overall it was well worth the price really liked this serum,thought great serum . felt moisturizing didnt notice smell didnt make skin feel oily sticky . overall well worth price really liked serum,"['thought', 'great', 'serum', '.', 'felt', 'moisturizing', 'didnt', 'notice', 'smell', 'didnt', 'make', 'skin', 'feel', 'oily', 'sticky', '.', 'overall', 'well', 'worth', 'price', 'really', 'liked', 'serum']"
great price.  works so well.  brightens complexion immediately love this vitamin c serum,great price . works well . brightens complexion immediately love vitamin c serum,"['great', 'price', '.', 'works', 'well', '.', 'brightens', 'complexion', 'immediately', 'love', 'vitamin', 'c', 'serum']"
switched from peach and lily glass skin serum because of the lower price point and my skin is just as clear and bright as ever a little goes a long way so 34 drops is ideal and i would suggest applying in a tapping motion onto face. rubbing leaves the face feeling sticky since it wont absorb as well. but overall great product and comparable to pls glass skin. ,switched peach lily glass skin serum lower price point skin clear bright ever little goes long way 34 drops ideal would suggest applying tapping motion onto face . rubbing leaves face feeling sticky since wont absorb well . overall great product comparable pls glass skin .,"['switched', 'peach', 'lily', 'glass', 'skin', 'serum', 'lower', 'price', 'point', 'skin', 'clear', 'bright', 'ever', 'little', 'goes', 'long', 'way', '34', 'drops', 'ideal', 'would', 'suggest', 'applying', 'tapping', 'motion', 'onto', 'face', '.', 'rubbing', 'leaves', 'face', 'feeling', 'sticky', 'since', 'wont', 'absorb', 'well', '.', 'overall', 'great', 'product', 'comparable', 'pls', 'glass', 'skin', '.']"
this product is amazing. clears my face. i love it. ,product amazing . clears face . love .,"['product', 'amazing', '.', 'clears', 'face', '.', 'love', '.']"
quality product high end packaging. i would repurchase. ,quality product high end packaging . would repurchase .,"['quality', 'product', 'high', 'end', 'packaging', '.', 'would', 'repurchase', '.']"
if you have sensitive skin i would be cautious of this product. it felt like my face had a chemical burn after a couple days of use and honestly i didnt see much of a difference with my acne overall even with consistent use after 23 weeks. not for sensitive skin,sensitive skin would cautious product . felt like face chemical burn couple days use honestly didnt see much difference acne overall even consistent use 23 weeks . not sensitive skin,"['sensitive', 'skin', 'would', 'cautious', 'product', '.', 'felt', 'like', 'face', 'chemical', 'burn', 'couple', 'days', 'use', 'honestly', 'didnt', 'see', 'much', 'difference', 'acne', 'overall', 'even', 'consistent', 'use', '23', 'weeks', '.', 'not', 'sensitive', 'skin']"
i was looking for a pimple cream but decided to buy this instead bc it was on sale. i started seeing results after one use and my skin noticeably looks better. it cosmetics did not play when they made this product ,looking pimple cream decided buy instead bc sale . started seeing results one use skin noticeably looks better . cosmetics not play made product,"['looking', 'pimple', 'cream', 'decided', 'buy', 'instead', 'bc', 'sale', '.', 'started', 'seeing', 'results', 'one', 'use', 'skin', 'noticeably', 'looks', 'better', '.', 'cosmetics', 'not', 'play', 'made', 'product']"
bought for stressed out teen and it works fantastically if used as described.  clear face even under stress. ,bought stressed teen works fantastically used described . clear face even stress .,"['bought', 'stressed', 'teen', 'works', 'fantastically', 'used', 'described', '.', 'clear', 'face', 'even', 'stress', '.']"
