review,clean_review,tokens
while this is too thick for my hot and humid summer climate its been great for the colder and drier months. the tint is light and im fairskinned. i bought three tinted mineralbased sunscreens. the tint blends well.  i use a cream blush on top of it. great for dry skin and cold climates,thick hot humid summer climate great colder drier months . tint light im fairskinned . bought three tinted mineralbased sunscreens . tint blends well . use cream blush top . great dry skin cold climates,"['thick', 'hot', 'humid', 'summer', 'climate', 'great', 'colder', 'drier', 'months', '.', 'tint', 'light', 'im', 'fairskinned', '.', 'bought', 'three', 'tinted', 'mineralbased', 'sunscreens', '.', 'tint', 'blends', 'well', '.', 'use', 'cream', 'blush', 'top', '.', 'great', 'dry', 'skin', 'cold', 'climates']"
love love love this tinted sunscreen. its a physical sunscreen thats doesnt leave white cast and does not irritate my very sensitive skin. so far ive purchased at least 5 times. i apply and put blush on top and go about my day. i highly recommend. great product ,love love love tinted sunscreen . physical sunscreen thats doesnt leave white cast not irritate sensitive skin . far ive purchased least 5 times . apply put blush top go day . highly recommend . great product,"['love', 'love', 'love', 'tinted', 'sunscreen', '.', 'physical', 'sunscreen', 'thats', 'doesnt', 'leave', 'white', 'cast', 'not', 'irritate', 'sensitive', 'skin', '.', 'far', 'ive', 'purchased', 'least', '5', 'times', '.', 'apply', 'put', 'blush', 'top', 'go', 'day', '.', 'highly', 'recommend', '.', 'great', 'product']"
i am of darker complexion and it blends perfectly with my skin. its non greasy and it doesnt break me out. i was very pleased. has a slight dull.odour that takes getting accustomed to but its good overall. ,darker complexion blends perfectly skin . non greasy doesnt break . pleased . slight dull.odour takes getting accustomed good overall .,"['darker', 'complexion', 'blends', 'perfectly', 'skin', '.', 'non', 'greasy', 'doesnt', 'break', '.', 'pleased', '.', 'slight', 'dull.odour', 'takes', 'getting', 'accustomed', 'good', 'overall', '.']"
great product for sun protection with safer ingredients  mineral. the tint is nice enough to wear instead of makeup and covers redness and dark spots as well and is buildable like make up with the added benefit of sun protection. wear this as makeup and sun protection,great product sun protection safer ingredients mineral . tint nice enough wear instead makeup covers redness dark spots well buildable like make added benefit sun protection . wear makeup sun protection,"['great', 'product', 'sun', 'protection', 'safer', 'ingredients', 'mineral', '.', 'tint', 'nice', 'enough', 'wear', 'instead', 'makeup', 'covers', 'redness', 'dark', 'spots', 'well', 'buildable', 'like', 'make', 'added', 'benefit', 'sun', 'protection', '.', 'wear', 'makeup', 'sun', 'protection']"
the coloring is off for my pale skin and its very thick. i prefer redness relieving cetaphil spf 40. wont purchase again. ,coloring pale skin thick . prefer redness relieving cetaphil spf 40. wont purchase .,"['coloring', 'pale', 'skin', 'thick', '.', 'prefer', 'redness', 'relieving', 'cetaphil', 'spf', '40.', 'wont', 'purchase', '.']"
goes on easily blends in well light not greasy ,goes easily blends well light not greasy,"['goes', 'easily', 'blends', 'well', 'light', 'not', 'greasy']"
sunscreen in makeup that adjusts to your color my skin tone changes from early spring to summer plus i have rosacea. this makeup adapts to my skin color so well it didnt cause breakouts or rashes.  i have very sensitive skin so i was skeptical about it.  i am really happy with this product. ,sunscreen makeup adjusts color skin tone changes early spring summer plus rosacea . makeup adapts skin color well didnt cause breakouts rashes . sensitive skin skeptical . really happy product .,"['sunscreen', 'makeup', 'adjusts', 'color', 'skin', 'tone', 'changes', 'early', 'spring', 'summer', 'plus', 'rosacea', '.', 'makeup', 'adapts', 'skin', 'color', 'well', 'didnt', 'cause', 'breakouts', 'rashes', '.', 'sensitive', 'skin', 'skeptical', '.', 'really', 'happy', 'product', '.']"
i use this everyday. i use the light color in the fall winter and the darker color in the spring and summer. i wear it as a foundation most days. its has a matte finish. it looks fantastic it also works well under makeup. i also have very large pores and this really helps to reduce the appearance. ,use everyday . use light color fall winter darker color spring summer . wear foundation days . matte finish . looks fantastic also works well makeup . also large pores really helps reduce appearance .,"['use', 'everyday', '.', 'use', 'light', 'color', 'fall', 'winter', 'darker', 'color', 'spring', 'summer', '.', 'wear', 'foundation', 'days', '.', 'matte', 'finish', '.', 'looks', 'fantastic', 'also', 'works', 'well', 'makeup', '.', 'also', 'large', 'pores', 'really', 'helps', 'reduce', 'appearance', '.']"
my go to for the summers at the lake.  boating on the water everyday this is a must have for me.  stays on most of the day but i do reapply in the afternoon. ,go summers lake . boating water everyday must . stays day reapply afternoon .,"['go', 'summers', 'lake', '.', 'boating', 'water', 'everyday', 'must', '.', 'stays', 'day', 'reapply', 'afternoon', '.']"
i really love this stuff.  second time buying it and it lasts forever.  i use it instead of foundation.  i like the high spf and it feels really good to put on then dries down to a matte finish but so smooth like your skin.  you can barely feel it.  and i think my face is in better condition since using it.  usually im very sensitive to spf it often makes me break out but not this one.  the only downside is shade range i have the lightest its still slightly darker than my natural color but not a deal breaker.  probably just gives me a little more color.  it also keeps me from getting greasy throughout the day which is cool because im really oily. ,really love stuff . second time buying lasts forever . use instead foundation . like high spf feels really good put dries matte finish smooth like skin . barely feel . think face better condition since using . usually im sensitive spf often makes break not one . downside shade range lightest still slightly darker natural color not deal breaker . probably gives little color . also keeps getting greasy throughout day cool im really oily .,"['really', 'love', 'stuff', '.', 'second', 'time', 'buying', 'lasts', 'forever', '.', 'use', 'instead', 'foundation', '.', 'like', 'high', 'spf', 'feels', 'really', 'good', 'put', 'dries', 'matte', 'finish', 'smooth', 'like', 'skin', '.', 'barely', 'feel', '.', 'think', 'face', 'better', 'condition', 'since', 'using', '.', 'usually', 'im', 'sensitive', 'spf', 'often', 'makes', 'break', 'not', 'one', '.', 'downside', 'shade', 'range', 'lightest', 'still', 'slightly', 'darker', 'natural', 'color', 'not', 'deal', 'breaker', '.', 'probably', 'gives', 'little', 'color', '.', 'also', 'keeps', 'getting', 'greasy', 'throughout', 'day', 'cool', 'im', 'really', 'oily', '.']"
