review,clean_review,tokens
ive used this murad toner for years to start my skin care both morning and night it has the usual murad quality and the vitamin c helps even my skin tone i was a freckled redhead ive economized on other skin care products but never on this one a great start for your faceworth the price,ive used murad toner years start skin care morning night usual murad quality vitamin c helps even skin tone freckled redhead ive economized skin care products never one great start faceworth price,"['ive', 'used', 'murad', 'toner', 'years', 'start', 'skin', 'care', 'morning', 'night', 'usual', 'murad', 'quality', 'vitamin', 'c', 'helps', 'even', 'skin', 'tone', 'freckled', 'redhead', 'ive', 'economized', 'skin', 'care', 'products', 'never', 'one', 'great', 'start', 'faceworth', 'price']"
never used a toner before this but my mom bought it and didnt see the instant results she wanted within a months time and it sat and sat in my bathroom so i gave it a try i knew the product was expensive so i only used it a handful of times because it wasnt mine and i told my mom about how i liked how it made my skin feel and i loved how it smelt so she gave it to me as someone with combination skin mostly dry and oily my skin loves this product i put it on before i do anything in my routine and then i do my normal skincare ill put my routine below it involves the murad toner spray the divulge beauty glycolic daily exfoliating serum the neutrogena water cream and cerave itch relief cream lasty as its a thick heavy cream i use the itch relief because i have really dry eczema skin and it takes the itch away instantly my skin loves these products and it cleared my eczema skin ive never felt my skin be so smooth without these products together 1010tip for the product though thank god i didnt finish my spray bottle because i got the refill right before i finished the bottle thought it was gonna be a spray bottle but its not it seems to be a refill rather than another spray bottle with product so with caution make sure youre getting exactly that or find another listing for the spray bottle and not refull 1010 product skin is super smooth,never used toner mom bought didnt see instant results wanted within months time sat sat bathroom gave try knew product expensive used handful times wasnt mine told mom liked made skin feel loved smelt gave someone combination skin mostly dry oily skin loves product put anything routine normal skincare ill put routine involves murad toner spray divulge beauty glycolic daily exfoliating serum neutrogena water cream cerave itch relief cream lasty thick heavy cream use itch relief really dry eczema skin takes itch away instantly skin loves products cleared eczema skin ive never felt skin smooth without products together 1010tip product though thank god didnt finish spray bottle got refill right finished bottle thought gon na spray bottle not seems refill rather another spray bottle product caution make sure youre getting exactly find another listing spray bottle not refull 1010 product skin super smooth,"['never', 'used', 'toner', 'mom', 'bought', 'didnt', 'see', 'instant', 'results', 'wanted', 'within', 'months', 'time', 'sat', 'sat', 'bathroom', 'gave', 'try', 'knew', 'product', 'expensive', 'used', 'handful', 'times', 'wasnt', 'mine', 'told', 'mom', 'liked', 'made', 'skin', 'feel', 'loved', 'smelt', 'gave', 'someone', 'combination', 'skin', 'mostly', 'dry', 'oily', 'skin', 'loves', 'product', 'put', 'anything', 'routine', 'normal', 'skincare', 'ill', 'put', 'routine', 'involves', 'murad', 'toner', 'spray', 'divulge', 'beauty', 'glycolic', 'daily', 'exfoliating', 'serum', 'neutrogena', 'water', 'cream', 'cerave', 'itch', 'relief', 'cream', 'lasty', 'thick', 'heavy', 'cream', 'use', 'itch', 'relief', 'really', 'dry', 'eczema', 'skin', 'takes', 'itch', 'away', 'instantly', 'skin', 'loves', 'products', 'cleared', 'eczema', 'skin', 'ive', 'never', 'felt', 'skin', 'smooth', 'without', 'products', 'together', '1010tip', 'product', 'though', 'thank', 'god', 'didnt', 'finish', 'spray', 'bottle', 'got', 'refill', 'right', 'finished', 'bottle', 'thought', 'gon', 'na', 'spray', 'bottle', 'not', 'seems', 'refill', 'rather', 'another', 'spray', 'bottle', 'product', 'caution', 'make', 'sure', 'youre', 'getting', 'exactly', 'find', 'another', 'listing', 'spray', 'bottle', 'not', 'refull', '1010', 'product', 'skin', 'super', 'smooth']"
the toner does not have small holes so it is easy to pour too much when pouring  this is the only drawback ,toner not small holes easy pour much pouring drawback,"['toner', 'not', 'small', 'holes', 'easy', 'pour', 'much', 'pouring', 'drawback']"
i like the feeling of my skin after i put it on my face ,like feeling skin put face,"['like', 'feeling', 'skin', 'put', 'face']"
have used this product for years and it still find it very refreshing every day ,used product years still find refreshing every day,"['used', 'product', 'years', 'still', 'find', 'refreshing', 'every', 'day']"
excellent product have used it for twenty years ,excellent product used twenty years,"['excellent', 'product', 'used', 'twenty', 'years']"
ive used this brand of skin care for a while and love it ,ive used brand skin care love,"['ive', 'used', 'brand', 'skin', 'care', 'love']"
this product actually helped control oil and breakouts better than orher brands that are specifically marketed for that it was not overly drying to my skin but it did leave the extra clean feeling we all want from our products ,product actually helped control oil breakouts better orher brands specifically marketed not overly drying skin leave extra clean feeling want products,"['product', 'actually', 'helped', 'control', 'oil', 'breakouts', 'better', 'orher', 'brands', 'specifically', 'marketed', 'not', 'overly', 'drying', 'skin', 'leave', 'extra', 'clean', 'feeling', 'want', 'products']"
i wouldnt go a day without this  i have naturally dry skin and this toner hydrates and refreshes  moisturizer goes on better and i actually use less moisturizer because of this product  dermalogica is the best  worth the price ,wouldnt go day without naturally dry skin toner hydrates refreshes moisturizer goes better actually use less moisturizer product dermalogica best worth price,"['wouldnt', 'go', 'day', 'without', 'naturally', 'dry', 'skin', 'toner', 'hydrates', 'refreshes', 'moisturizer', 'goes', 'better', 'actually', 'use', 'less', 'moisturizer', 'product', 'dermalogica', 'best', 'worth', 'price']"
i have been using this product for five years  people are always stunned when i tell them my age plus it lasts me for almost a year ,using product five years people always stunned tell age plus lasts almost year,"['using', 'product', 'five', 'years', 'people', 'always', 'stunned', 'tell', 'age', 'plus', 'lasts', 'almost', 'year']"
i have used this toner for years under day cream on my face ,used toner years day cream face,"['used', 'toner', 'years', 'day', 'cream', 'face']"
